,sampling rate,sampling width in bytes,nframes,nchannels
2603,44100,2,176400,2
2604,48000,2,192000,2
2605,48000,2,192000,2
2607,48000,2,113593,2
2608,44100,2,176400,2
261,48000,2,147826,2
2610,44100,2,176400,2
2612,48000,2,192000,2
2613,48000,2,192000,2
2614,44100,2,176400,2
2616,44100,2,176400,2
2619,48000,2,125642,2
2620,48000,2,192000,2
2623,44100,2,57771,2
2624,48000,2,192000,2
2625,48000,2,192000,2
263,48000,2,192000,2
2632,44100,2,176400,2
2634,48000,2,192000,2
2636,48000,2,192000,2
2637,44100,2,176400,2
2639,44100,2,176400,2
264,44100,2,176400,1
2640,44100,2,176400,1
2641,44100,2,176400,2
2644,48000,2,83040,2
2645,44100,2,176400,2
2646,22050,1,88200,1
2647,44100,2,176400,2
2648,48000,2,192000,2
2650,44100,2,176400,2
2651,48000,2,192000,2
2652,44100,2,176400,2
2653,48000,2,192000,2
2657,48000,2,192000,2
2658,44100,2,176400,2
2659,44100,2,176400,2
2661,48000,2,192000,2
2662,48000,2,192000,2
2664,48000,2,192000,2
2665,48000,2,192000,2
2666,48000,2,192000,2
2668,48000,2,192000,2
2669,48000,2,192000,2
2671,44100,2,176400,2
2674,48000,2,192000,2
2676,44100,2,176400,2
2677,44100,2,89523,2
2678,44100,2,176400,1
2679,44100,2,176400,2
268,48000,2,76800,2
2680,48000,2,192000,2
2682,44100,2,176400,2
2684,44100,2,176400,2
2685,48000,2,192000,2
2686,16000,2,64000,1
2687,48000,2,192000,1
2689,44100,2,176400,2
269,44100,2,176400,2
2690,44100,2,176400,2
2691,44100,2,176400,2
2695,44100,2,176400,2
2697,44100,2,176400,2
2699,44100,2,176400,2
27,48000,2,192000,1
270,48000,2,192000,2
2700,48000,2,118080,2
2702,44100,2,176400,2
2703,48000,2,192000,2
2705,48000,2,129572,2
2706,44100,2,176400,2
2707,44100,2,176400,2
2709,44100,2,176400,2
271,44100,2,176400,2
2710,44100,2,176400,2
2711,44100,2,176400,2
2713,48000,2,192000,2
2714,44100,2,176400,2
2717,48000,2,192000,1
2718,48000,2,192000,2
272,44100,2,55063,2
2721,44100,2,176400,2
2722,48000,2,192000,2
2723,44100,2,176400,2
2725,48000,2,192000,2
2726,48000,2,192000,2
2728,44100,2,35988,2
2730,44100,2,44541,2
2732,48000,2,192000,1
2733,44100,2,176400,2
2736,44100,2,105399,2
2738,48000,2,192000,1
2739,48000,2,192000,2
2740,48000,2,192000,2
2741,44100,2,176400,2
2744,44100,2,176400,2
2746,48000,2,192000,2
2747,48000,2,17280,1
275,44100,2,176400,2
2750,44100,2,176400,2
2751,44100,2,176400,2
2752,44100,2,21998,2
2754,48000,2,24946,2
2756,22050,1,88200,1
2757,48000,2,192000,2
276,44100,2,176400,2
2760,48000,2,192000,2
2763,48000,2,192000,2
2764,48000,2,114068,2
2765,44100,2,138915,2
2766,48000,2,192000,2
2769,48000,2,192000,2
277,44100,2,176400,2
2770,48000,2,192000,2
2771,44100,2,176400,2
2773,44100,2,176400,2
2774,44100,2,176400,2
2775,48000,2,69120,2
2776,44100,2,176400,2
2779,44100,2,176400,2
278,44100,2,176400,2
2780,44100,2,10584,2
2781,44100,2,176400,2
2783,44100,2,174636,2
2784,44100,2,176400,2
2785,44100,2,176400,2
2787,48000,2,114720,2
2788,44100,2,176400,2
2789,48000,2,192000,2
2790,44100,2,176400,2
2791,48000,2,192000,2
2792,48000,2,192000,2
2794,44100,2,176400,2
2795,48000,2,192000,2
2797,48000,2,192000,2
280,44100,2,176400,2
2800,48000,2,192000,2
2801,44100,2,176400,2
2802,44100,2,176400,2
2805,48000,2,192000,1
2807,48000,2,192000,2
2808,48000,2,192000,2
2811,48000,2,192000,2
2813,48000,2,192000,2
2815,48000,2,192000,2
2819,11025,1,44100,1
282,48000,2,192000,1
2821,48000,2,32451,2
2824,48000,2,192000,2
2825,44100,2,176400,2
2828,48000,2,192000,2
2829,48000,2,192000,2
2830,44100,2,176400,2
2831,48000,2,192000,2
2832,44100,2,176400,2
2835,48000,2,192000,2
2836,48000,2,192000,2
2837,44100,2,87318,2
2840,44100,2,176400,2
2842,22050,2,88200,2
2846,44100,2,176400,2
2849,48000,2,192000,2
285,48000,2,58847,2
2850,44100,2,176400,2
2851,44100,2,176400,2
2854,44100,2,176400,2
2855,48000,2,192000,2
2857,44100,2,176400,2
2858,48000,2,192000,2
286,44100,2,176400,2
2862,48000,2,192000,2
2863,44100,2,176400,2
2864,44100,2,176400,2
2865,48000,2,192000,2
2869,48000,2,97920,1
2870,44100,2,176400,2
2871,48000,2,192000,2
2872,44100,2,176400,2
2873,44100,2,176400,1
2875,48000,2,192000,2
2878,48000,2,192000,2
288,48000,2,192000,2
2881,48000,2,192000,2
2884,48000,2,192000,2
2887,44100,2,176400,2
2889,44100,2,176400,1
2890,44100,2,45709,2
2891,48000,2,192000,2
2892,44100,2,176400,2
2896,48000,2,192000,1
2898,16000,2,64000,1
2899,48000,2,192000,2
2900,48000,2,192000,2
2901,44100,2,176400,2
2902,48000,2,192000,2
2903,44100,2,176400,2
2907,44100,2,176400,2
2909,44100,2,176400,2
2910,44100,2,176400,2
2911,48000,2,192000,2
2912,48000,2,192000,2
2913,48000,2,192000,2
2914,44100,2,29547,1
2915,48000,2,192000,2
2917,48000,2,59040,2
2918,48000,2,192000,2
2920,44100,2,176400,2
2921,48000,2,192000,2
2922,44100,2,176400,2
2924,44100,2,176400,2
2925,48000,2,192000,2
2926,48000,2,192000,2
2927,48000,2,80160,1
2928,44100,2,176400,2
2929,48000,2,192000,2
2930,96000,2,98880,2
2931,44100,2,176400,2
2932,48000,2,129105,2
2933,44100,2,83349,2
2934,48000,2,192000,2
2935,44100,2,10143,2
2936,44100,2,176400,2
2939,48000,2,192000,2
2940,48000,2,192000,2
2942,44100,2,176400,2
2943,44100,2,176400,2
2944,44100,2,176400,2
2945,48000,2,192000,2
2946,44100,2,176400,2
295,48000,2,51637,2
2950,44100,2,53169,2
2951,22050,1,88200,1
2954,48000,2,192000,2
2955,48000,2,192000,2
2956,44100,2,176400,2
2957,44100,2,176400,2
2959,48000,2,192000,2
2960,48000,2,192000,2
2961,48000,2,192000,2
2962,48000,2,192000,2
2963,44100,2,79380,2
2966,48000,2,192000,2
2969,48000,2,192000,2
2971,48000,2,192000,2
2972,48000,2,115176,2
2974,48000,2,192000,2
2976,44100,2,21168,2
2980,48000,2,192000,2
2982,48000,2,192000,2
2983,48000,2,192000,2
2984,48000,2,192000,2
2986,44100,2,176400,2
2987,44100,2,176400,2
2988,44100,2,176400,2
2989,44100,2,131859,2
299,44100,2,176400,2
2991,44100,2,38681,2
2992,48000,2,129600,2
2993,44100,2,176400,2
2994,48000,2,192000,2
2995,44100,2,176400,2
2996,44100,2,176400,2
2997,48000,2,192000,2
2998,44100,2,63504,2
3,44100,2,176400,2
300,44100,2,2205,2
3001,44100,2,21549,1
3003,48000,2,192000,2
3004,44100,2,176400,2
3006,44100,2,176400,2
3008,48000,2,192000,1
301,48000,2,192000,2
3011,48000,2,192000,2
3012,44100,2,18051,2
3013,44100,2,176400,2
3014,44100,2,176400,2
3016,44100,2,176400,2
3018,44100,2,176400,2
3020,48000,2,192000,2
3021,44100,2,176400,2
3024,48000,2,192000,2
3026,48000,2,192000,2
3027,48000,2,192000,2
303,44100,2,176400,2
3030,44100,2,176400,2
3032,48000,2,192000,2
3033,48000,2,5270,2
3034,16000,1,64000,2
3036,48000,2,192000,2
3037,44100,2,176400,2
3038,48000,2,192000,2
304,44100,2,176400,2
3042,44100,2,176400,2
3046,48000,2,192000,1
305,48000,2,192000,2
3050,48000,2,192000,2
3051,48000,2,192000,2
3052,44100,2,176400,1
3054,44100,2,176400,2
3055,44100,2,176400,2
3056,44100,2,151704,2
306,44100,2,176400,2
3060,44100,2,176400,2
3061,48000,2,192000,2
3062,44100,2,176400,2
3063,48000,2,192000,2
3066,48000,2,142410,2
3068,44100,2,176400,2
3069,48000,2,192000,2
307,44100,2,176400,2
3070,44100,2,31752,2
3071,48000,2,192000,2
3074,44100,2,176400,2
3075,44100,2,176400,2
3077,48000,2,192000,2
3078,44100,2,176400,2
308,44100,2,176400,2
3081,44100,2,176400,2
3082,96000,2,384000,2
3085,44100,2,176400,2
3087,44100,2,176400,2
3089,48000,2,192000,1
309,48000,2,192000,2
3091,96000,2,168684,2
3092,48000,2,192000,2
3094,44100,2,176400,2
3095,48000,2,192000,2
3096,48000,2,192000,2
3097,48000,2,192000,2
3098,44100,2,176400,2
3099,44100,2,176400,2
310,48000,2,192000,2
3101,48000,2,192000,2
3102,48000,2,192000,2
3103,48000,2,95332,2
3104,96000,2,384000,2
3105,48000,2,192000,2
3108,44100,2,176400,2
311,48000,2,63840,2
3110,44100,2,176400,2
3112,48000,2,192000,2
3115,48000,2,192000,2
3117,44100,2,176400,2
3118,48000,2,192000,1
312,44100,2,176400,2
3120,22050,2,10143,1
3121,44100,2,176400,2
3123,44100,2,176400,2
3125,44100,2,176400,2
3126,44100,2,176400,2
3127,44100,2,176400,2
3128,44100,2,28224,2
313,48000,2,30076,2
3130,44100,2,176400,2
3131,44100,2,176400,2
3133,48000,2,192000,1
3135,44100,2,176400,2
3136,24000,2,96000,2
3138,48000,2,192000,2
314,48000,2,192000,2
3140,48000,2,192000,2
3143,48000,2,192000,1
3144,44100,2,176400,2
3146,44100,2,176400,2
3147,44100,2,176400,2
3148,48000,2,192000,2
315,48000,2,192000,2
3150,48000,2,192000,2
3151,44100,2,176400,2
3152,44100,2,75770,2
3153,48000,2,192000,1
3154,44100,2,176400,1
3155,44100,2,176400,2
3156,16000,1,64000,2
3157,44100,2,176400,2
3159,44100,2,71324,2
316,44100,2,43627,2
3160,24000,2,96000,2
3161,44100,2,176400,2
3162,44100,2,176400,2
3163,44100,2,176400,2
3164,44100,2,176400,2
3165,48000,2,192000,2
3167,44100,2,176400,2
3168,48000,2,192000,2
3169,48000,2,192000,2
317,44100,2,176400,2
3170,44100,2,176400,2
3171,44100,2,176400,2
3172,48000,2,192000,2
3176,48000,2,34340,2
3177,48000,2,192000,1
3178,48000,2,192000,2
3179,48000,2,192000,2
318,44100,2,176400,2
3180,44100,2,176400,2
3182,48000,2,192000,2
3185,48000,2,192000,1
3186,44100,2,176400,2
3187,48000,2,192000,2
3188,44100,2,176400,2
3189,48000,2,192000,1
319,44100,2,176400,2
3190,48000,2,192381,1
3191,48000,2,192000,2
3192,44100,2,51154,2
3194,96000,2,121505,2
3195,48000,2,192000,2
3196,44100,2,21100,2
3197,44100,2,176400,2
3199,48000,2,192000,2
32,48000,2,192000,1
3200,44100,2,176400,2
3202,48000,2,192000,2
3205,48000,2,192000,2
3206,48000,2,192000,1
3207,48000,2,57553,2
3209,44100,2,176400,2
3211,44100,2,32634,2
3213,44100,2,176400,2
3214,48000,2,192000,2
3215,44100,2,176400,2
3216,44100,2,176400,2
3218,44100,2,176400,2
322,44100,2,176400,2
3220,24000,2,96000,2
3221,48000,2,192000,2
3223,44100,2,176400,2
3225,44100,2,176400,2
3226,48000,2,192000,2
3227,44100,2,176400,2
3229,44100,2,8818,2
323,44100,2,176400,2
3230,44100,2,176400,2
3231,44100,2,176400,2
3232,48000,2,192000,2
3233,48000,2,192000,2
3235,48000,2,192000,2
3236,48000,2,44494,2
3237,44100,2,176400,2
3238,48000,2,192000,2
3239,44100,2,176400,2
324,48000,2,192000,2
3240,44100,2,176400,2
3244,48000,2,192000,2
3246,48000,2,192000,2
3248,48000,2,192000,1
3250,48000,2,192000,2
3254,44100,2,176400,2
3257,48000,2,192000,2
3258,44100,2,176400,2
3259,48000,2,192000,2
326,48000,2,192000,2
3261,48000,2,192000,2
3262,44100,2,62551,2
3264,44100,2,176400,2
3266,44100,2,176400,2
3267,48000,2,192000,2
3268,44100,2,176400,2
327,44100,2,41895,2
3270,44100,2,176400,2
3271,44100,2,176400,2
3272,44100,2,176400,2
3273,48000,2,192000,2
3275,48000,2,142560,2
3276,44100,2,176400,1
3277,48000,2,192000,2
3278,48000,2,192000,2
3279,48000,2,106080,2
328,44100,2,176400,2
3281,44100,2,176400,2
3283,44100,2,176400,2
3285,48000,2,64800,2
3286,44100,2,172431,2
3288,48000,2,192000,2
329,44100,2,176400,2
3291,44100,2,24255,2
3292,48000,2,192000,2
3293,48000,2,192000,2
3294,48000,2,192000,2
3296,48000,2,192000,2
3297,48000,2,192000,2
3298,48000,2,192000,2
3299,48000,2,192000,2
33,48000,2,192000,2
330,44100,2,176400,2
3301,44100,2,176400,2
3302,44100,2,176400,2
3305,44100,2,22491,2
3306,44100,2,176400,2
3307,44100,2,176400,2
3308,96000,2,107100,2
331,44100,2,176400,2
3310,24000,2,96000,2
3316,44100,2,176400,2
3317,44100,2,26301,2
3318,48000,2,7573,2
3319,48000,2,192000,2
332,48000,2,192000,2
3320,44100,2,176400,2
3321,44100,2,176400,2
3322,48000,2,192000,2
3323,44100,2,36126,2
3324,44100,2,176400,2
3325,44100,2,176400,2
3328,44100,2,70894,2
333,48000,2,192000,2
3330,44100,2,89523,2
3331,48000,2,192000,2
3332,44100,2,35988,2
3333,44100,2,176400,2
3334,48000,2,192000,2
3336,44100,2,176400,2
3337,44100,2,176400,2
3338,48000,2,192000,1
334,48000,2,192000,2
3343,48000,2,192000,2
3344,48000,2,192000,2
3345,44100,2,176400,2
3347,48000,2,192000,2
3349,44100,2,176400,2
335,48000,2,192000,2
3350,44100,2,45691,2
3351,48000,2,192000,2
3352,44100,2,176400,2
3353,96000,2,101746,2
3354,48000,2,192000,1
3355,48000,2,192000,2
3357,44100,2,176400,2
3358,48000,2,192000,2
336,44100,2,176400,2
3360,44100,2,176400,2
3362,48000,2,192000,2
3363,44100,2,176400,2
3364,48000,2,192000,2
3365,48000,2,192000,2
3367,44100,2,176400,2
3369,48000,2,192000,1
337,48000,2,192000,2
3370,48000,2,86880,2
3371,48000,2,46032,2
3373,44100,2,176400,1
3375,44100,2,45844,2
3376,44100,2,176400,2
3379,44100,2,176400,2
338,96000,2,384000,2
3381,48000,2,192000,2
3383,48000,2,111653,2
3387,48000,2,192000,2
3388,44100,2,176400,2
3389,44100,2,39044,2
339,44100,2,176400,2
3390,44100,2,176400,2
3392,44100,2,176400,2
3394,24000,2,96000,2
3395,48000,2,50880,2
3397,48000,2,192000,2
3398,48000,2,192000,1
3399,48000,2,192000,2
3400,44100,2,176400,2
3401,48000,2,192000,2
3404,44100,2,138457,2
3406,44100,2,176400,2
3407,44100,2,176400,2
3409,48000,2,134780,2
3413,48000,2,192000,2
3415,44100,2,176400,2
3416,44100,2,33338,2
3417,44100,2,176400,2
3418,44100,2,155562,2
3419,48000,2,192000,2
342,44100,2,176400,2
3420,48000,2,192000,2
3422,24000,2,96000,2
3423,48000,2,80640,2
3425,48000,2,192000,2
3429,48000,2,192000,2
343,48000,2,192000,2
3432,48000,2,192000,2
3433,44100,2,176400,2
3434,44100,2,176400,2
3435,44100,2,176400,2
3436,44100,2,176400,2
3437,48000,2,192000,2
3439,48000,2,192000,2
3441,44100,2,176400,2
3442,48000,2,192000,2
3443,48000,2,192000,2
3444,44100,2,176400,2
3445,96000,2,91974,2
3446,48000,2,192000,2
3449,48000,2,192000,1
3451,44100,2,176400,2
3452,44100,2,176400,2
3453,48000,2,192000,2
3454,44100,2,176400,2
3455,44100,2,176400,2
3458,48000,2,40145,2
3459,44100,2,147294,2
346,44100,2,176400,2
3461,44100,2,176400,2
3462,48000,2,192000,2
3464,44100,2,176400,2
3465,44100,2,176400,2
3467,96000,2,384000,2
3469,48000,2,192000,2
347,44100,2,176400,2
3470,44100,2,65993,2
3471,44100,2,176400,2
3473,44100,2,176400,2
3474,48000,2,192000,1
3475,48000,2,192000,2
3477,48000,2,192000,2
3478,48000,2,192000,2
348,44100,2,176400,2
3480,48000,2,192000,2
3481,48000,2,192000,2
3482,44100,2,176400,2
3483,48000,2,192000,1
3486,48000,2,192000,2
3489,44100,2,34398,2
349,44100,2,51120,2
3491,44100,2,176400,2
3492,44100,2,26879,2
3493,96000,2,384000,2
3495,48000,2,192000,2
3496,44100,2,176400,2
3499,48000,2,192000,2
35,48000,2,132751,2
350,44100,2,176400,1
3501,48000,2,192000,2
3503,44100,2,176400,2
3504,44100,2,176400,2
3507,48000,2,192000,1
3508,48000,2,192000,1
3509,44100,2,176400,2
351,44100,2,46106,2
3510,48000,2,192000,2
3514,48000,2,115176,2
3515,48000,2,192000,1
3516,44100,2,176400,2
3517,44100,2,176400,2
3518,44100,2,176400,2
3519,48000,2,192000,2
352,44100,2,176400,2
3520,48000,2,192000,2
3522,44100,2,176400,2
3523,48000,2,192000,2
3525,44100,2,176400,2
3526,48000,2,41722,2
3528,48000,2,192000,2
3529,48000,2,192000,2
353,44100,2,62170,2
3531,48000,2,192000,2
3533,44100,2,176400,2
3534,48000,2,192000,2
3536,48000,2,192000,2
3537,44100,2,176400,2
3538,44100,2,176400,2
3539,44100,2,176400,2
354,44100,2,176400,2
3540,44100,2,176400,2
3542,44100,2,176400,2
3543,44100,2,74970,2
3545,44100,2,111054,2
3546,48000,2,192000,2
3547,48000,2,31680,2
3548,44100,2,66026,2
3549,44100,2,65709,2
355,44100,2,99461,2
3550,48000,2,192000,2
3551,48000,2,192000,2
3554,48000,2,192000,2
3555,48000,2,192000,2
3556,44100,2,176400,2
356,48000,2,192000,2
3560,44100,2,176400,2
3561,48000,2,192000,2
3566,48000,2,113760,2
3567,48000,2,52320,2
3568,48000,2,192000,2
3569,44100,2,176400,2
357,48000,2,192000,2
3574,48000,2,192000,2
3577,48000,2,192000,2
3579,48000,2,192000,2
358,48000,2,192000,2
3580,48000,2,192000,2
3582,48000,2,76800,2
3583,48000,2,192000,2
3584,48000,2,192000,2
3585,44100,2,176400,2
3587,48000,2,192000,2
3588,16000,1,64000,2
359,44100,2,176400,2
3590,44100,2,176400,2
3591,44100,2,176400,2
3595,48000,2,162557,2
3596,48000,2,192000,2
3597,44100,2,176400,2
3598,44100,2,176400,2
3599,48000,2,192000,2
36,48000,2,192000,2
360,44100,2,176400,2
3603,44100,2,176400,2
3604,44100,2,176400,2
3606,48000,2,192000,2
3607,44100,2,40935,1
3608,44100,2,176400,2
3609,24000,2,96000,2
361,48000,2,192000,2
3610,48000,2,59928,2
3611,48000,2,192000,2
3613,48000,2,192000,2
3614,44100,2,176400,2
3619,44100,2,176400,2
3621,44100,2,176400,2
3622,44100,2,176400,2
3624,44100,2,176400,2
3626,44100,2,26901,2
3627,48000,2,192000,2
3628,44100,2,176400,2
3629,48000,2,192000,2
363,44100,2,176400,2
3630,44100,2,176400,2
3632,48000,2,192000,2
3634,48000,2,192000,2
3637,44100,2,176400,2
3639,44100,2,176400,2
364,44100,2,14994,2
3640,48000,2,192000,2
3642,48000,2,192000,2
3644,24000,2,96000,2
3645,44100,2,176400,2
3646,44100,2,176400,2
3647,44100,2,176400,2
3648,44100,2,38367,2
3649,48000,2,192000,2
365,48000,2,101280,2
3652,44100,2,98343,2
3653,48000,2,192000,2
3654,44100,2,92103,2
3656,48000,2,192000,2
3657,48000,2,192000,2
3658,44100,2,176400,2
3659,48000,2,192000,2
366,48000,2,192000,2
3660,48000,2,192000,2
3661,44100,2,176400,2
3662,44100,2,176400,2
3663,48000,2,192000,2
3664,48000,2,192000,2
3666,48000,2,192000,1
3668,44100,2,176400,2
3669,44100,2,176400,2
367,44100,2,58653,2
3670,44100,2,176400,2
3671,44100,2,176400,2
3672,44100,2,176400,2
3674,48000,2,192000,2
3675,48000,2,192000,2
3676,44100,2,176400,2
3678,48000,2,192000,2
3679,48000,2,192000,2
368,48000,2,192000,2
3680,48000,2,192000,2
3681,44100,2,176400,2
3682,48000,2,192000,2
3683,22050,1,88200,1
3685,44100,2,176400,2
3686,44100,2,176400,2
3687,48000,2,192000,2
3688,44100,2,176400,2
3689,44100,2,176400,2
369,44100,2,176400,2
3691,44100,2,176400,2
3695,48000,2,41760,2
3696,48000,2,192000,2
3697,48000,2,192000,2
3698,48000,2,192000,1
37,44100,2,176400,2
370,44100,2,78057,2
3700,48000,2,192000,2
3702,24000,2,96000,2
3703,44100,2,176400,2
3706,48000,2,192000,2
3708,48000,2,192000,2
3709,48000,2,192000,2
371,44100,2,176400,2
3711,48000,2,192000,2
3714,48000,2,192000,2
3717,48000,2,192000,2
3718,44100,2,176400,2
3719,48000,2,192000,2
372,48000,2,192000,2
3721,44100,2,176400,2
3724,48000,2,67052,2
3725,48000,2,65760,2
3726,44100,2,71001,1
3728,48000,2,192000,2
3729,48000,2,192000,2
3731,44100,2,119511,2
3732,44100,2,176400,2
3734,44100,2,176400,2
3735,44100,2,176400,2
3738,96000,2,53551,2
3739,44100,2,176400,2
374,44100,2,137441,2
3741,48000,2,192000,2
3742,48000,2,192000,2
3745,44100,2,176400,2
3747,44100,2,176400,2
3749,44100,2,176400,2
3750,48000,2,192000,2
3751,48000,2,192000,2
3752,44100,2,176400,2
3753,48000,2,16612,2
3754,48000,2,192000,2
3756,44100,2,176400,2
3758,48000,2,192000,1
3759,48000,2,192000,2
376,44100,2,48951,2
3760,44100,2,176400,2
3762,44100,2,176400,2
3763,48000,2,192000,2
3764,44100,2,58653,2
3765,48000,2,192000,2
3766,44100,2,176400,2
377,44100,2,176400,2
3770,48000,2,192000,2
3771,44100,2,176400,1
3772,44100,2,176400,2
3776,48000,2,192000,2
3778,44100,2,176400,2
378,48000,2,192000,2
3781,48000,2,192000,2
3782,48000,2,18720,1
3783,24000,2,96000,2
3784,44100,2,176400,2
3785,44100,2,176400,2
3787,48000,2,192000,2
3788,44100,2,176400,2
3790,44100,2,158760,1
3791,44100,2,176400,2
3792,44100,2,176400,2
3798,48000,2,192000,2
3799,48000,2,192000,2
38,44100,2,176400,2
380,44100,2,176400,2
3800,48000,2,192000,2
3803,48000,2,192000,2
3805,44100,2,176400,2
3806,44100,2,2205,2
3808,48000,2,192000,2
381,44100,2,176400,2
3811,48000,2,74173,2
3813,48000,2,192000,2
3816,48000,2,192000,2
3819,22050,1,88200,1
382,48000,2,192000,2
3820,48000,2,192000,2
3821,44100,2,176400,2
3822,48000,2,192000,2
3823,48000,2,40189,2
3827,48000,2,192000,2
3828,44100,2,176400,2
383,48000,2,87840,2
3830,48000,2,192000,2
3833,48000,2,192000,2
3834,48000,2,192000,2
3836,48000,2,192000,2
3838,44100,2,176400,2
3839,48000,2,192000,2
3840,48000,2,192000,2
3842,16000,2,64000,1
3843,48000,2,192000,2
3844,48000,2,192000,2
3846,48000,2,192000,2
3847,44100,2,176400,2
3848,48000,2,192000,2
385,44100,2,176400,2
3850,48000,2,192000,2
3851,44100,2,176400,2
3853,48000,2,26356,2
3854,48000,2,192000,2
3855,48000,2,192000,2
3859,48000,2,192000,2
386,48000,2,192000,2
3860,44100,2,5663,2
3861,48000,2,192000,2
3863,44100,2,176400,2
3864,44100,2,176400,2
3866,48000,2,192000,2
3868,48000,2,192000,2
3869,44100,2,176400,2
3870,44100,2,176400,2
3871,48000,2,192000,2
3877,48000,2,192000,2
3878,48000,2,55491,2
3879,48000,2,192000,2
388,48000,2,192000,2
3880,48000,2,7441,2
3881,44100,2,176400,2
3882,16000,2,64000,1
3883,44100,2,176400,2
3884,48000,2,192000,2
3885,44100,2,176400,2
3886,44100,2,176400,2
3887,48000,2,68160,2
3888,48000,2,97920,2
3889,44100,2,176400,2
3890,48000,2,192000,2
3891,48000,2,192000,2
3893,44100,2,176400,2
3894,48000,2,192000,2
3895,48000,2,192000,2
3896,48000,2,192000,2
3898,48000,2,192000,2
3900,48000,2,192000,1
3902,44100,2,176400,2
3903,48000,2,192000,2
3905,44100,2,176400,2
3906,44100,2,176400,2
3909,48000,2,192000,2
391,44100,2,176400,2
3910,48000,2,192000,2
3911,44100,2,176400,2
3914,44100,2,176400,2
3915,44100,2,176400,2
3916,48000,2,192000,2
3918,48000,2,192000,2
3919,48000,2,192000,1
392,24000,2,96000,2
3920,48000,2,192000,2
3921,44100,2,176400,2
3924,48000,2,29112,2
3925,48000,2,192000,2
3927,44100,2,176400,2
3929,44100,2,176400,2
3930,44100,2,59976,2
3932,48000,2,192000,2
3933,44100,2,99225,2
3934,44100,2,176400,1
3936,48000,2,192000,2
3938,44100,2,77616,2
3939,48000,2,192000,2
394,48000,2,192000,2
3940,48000,2,192000,2
3941,44100,2,176400,2
3943,44100,2,176400,2
3944,48000,2,192000,2
3945,48000,2,192000,2
3947,44100,2,176400,2
3948,44100,2,176400,2
395,48000,2,192000,2
3951,44100,2,176400,2
3955,44100,2,35721,2
3956,44100,2,176400,2
3959,48000,2,192000,2
396,48000,2,192000,2
3960,48000,2,192000,2
3962,44100,2,176400,2
3965,44100,2,176400,2
3966,44100,2,176400,2
3967,48000,2,192000,2
3968,48000,2,192000,1
3969,44100,2,176400,2
397,48000,2,192000,2
3970,44100,2,176400,2
3972,48000,2,192000,2
3973,44100,2,176400,2
3975,44100,2,176400,2
3978,48000,2,192000,2
3981,44100,2,176400,2
3982,44100,2,176400,2
3983,44100,2,176400,2
3984,44100,2,176400,2
3985,44100,2,176400,2
3986,48000,2,192000,2
3987,44100,2,176400,2
3988,48000,2,192000,2
3992,44100,2,176400,2
3993,48000,2,192000,2
3994,44100,2,176400,2
3997,44100,2,176400,2
3998,44100,2,176400,2
3999,48000,2,192000,2
4,44100,2,176400,2
40,44100,2,176400,2
400,48000,2,192000,2
4000,44100,2,176400,2
4001,48000,2,192000,2
4002,48000,2,192000,2
4003,48000,2,192000,1
4004,44100,2,176400,2
4006,48000,2,192000,2
4009,48000,2,192000,2
401,44100,2,176400,2
4010,24000,2,96000,2
4011,44100,2,176400,2
4012,44100,2,176400,2
4014,44100,2,176400,2
4015,48000,2,192000,2
4017,48000,2,192000,2
4018,48000,2,192000,2
402,44100,2,176400,2
4021,44100,2,176400,2
4022,48000,2,192000,2
4024,48000,2,192000,2
4027,48000,2,192000,2
4028,44100,2,176400,2
4029,44100,2,176400,2
4030,48000,2,192000,2
4032,48000,2,192000,2
4038,44100,2,176400,2
4039,48000,2,144725,2
4041,44100,2,176400,2
4044,48000,2,192000,2
4045,24000,2,96000,2
4046,44100,2,158298,1
4049,44100,2,52038,1
4050,44100,2,176400,2
4054,48000,2,192000,2
4055,22050,2,22248,1
4056,48000,2,57600,2
4057,44100,2,176400,2
4058,44100,2,176400,2
406,48000,2,192000,2
4062,48000,2,192000,2
4064,48000,2,192000,2
4066,48000,2,192000,2
4067,48000,2,192000,2
4068,48000,2,192000,2
4069,44100,2,176400,2
407,48000,2,192000,2
4070,44100,2,176400,1
4073,48000,2,192000,2
4075,48000,2,96000,2
4076,44100,2,176400,2
4077,48000,2,74880,2
4078,44100,2,176400,2
408,48000,2,86869,2
4080,48000,2,115680,2
4081,44100,2,176400,2
4083,44100,2,176400,2
4084,44100,2,176400,2
4085,48000,2,192000,2
4086,48000,2,192000,2
4087,96000,2,384000,2
4089,48000,2,192000,2
4091,44100,2,176400,2
4093,48000,2,192000,2
4094,48000,2,192000,2
4095,48000,2,192000,2
4096,24000,2,96000,2
4097,48000,2,192000,1
410,48000,2,192000,2
4100,48000,2,192000,2
4101,44100,2,62169,2
4102,48000,2,192000,2
4103,48000,2,192000,2
4104,48000,2,50880,2
4106,48000,2,192000,2
411,48000,2,192000,2
4110,44100,2,176400,2
4111,44100,2,44100,2
4117,44100,2,176400,2
4118,44100,2,176400,2
4119,44100,2,176400,2
412,44100,2,176400,2
4121,48000,2,192000,2
4122,44100,2,176400,2
4123,48000,2,192000,2
4125,48000,2,192000,2
4126,11025,1,44100,1
4128,48000,2,65556,2
4129,48000,2,192000,2
413,44100,2,176400,2
4130,44100,2,176400,2
4131,48000,2,192000,2
4134,44100,2,176400,2
4135,44100,2,176400,2
4137,48000,2,192000,2
4138,48000,2,192000,1
